,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,insider_interview,url,adv_response_url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,professional_roles,accept_incomplete_resumes
135,77969504,False,Lead Data Scientist at Sberbank Corporate | Онлайн оценка залогов,"{'id': '3529-3529-prof', 'name': 'Сбер для экспертов'}",False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2023-03-13T12:29:50+0300,2023-03-13T12:29:50+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=77969504,,https://api.hh.ru/vacancies/77969504?host=hh.ru,,https://hh.ru/vacancy/77969504,[],"{'id': '3529', 'name': 'СБЕР', 'url': 'https://api.hh.ru/employers/3529', 'alternate_url': 'https://hh.ru/employer/3529', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/5756157.png', '90': 'https://hhcdn.ru/employer-logo/5756156.png', 'original': 'https://hhcdn.ru/employer-logo-original/1033849.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3529', 'trusted': True}","{'requirement': 'Понимание принципов работы и проектирований Backend-приложений (system design). Опыт разработки инструментов <highlighttext>аналитики</highlighttext> и визуализации данных. Опыт построение зрелого процесса...', 'responsibility': 'Согласование разработки моделей со смежными подразделениями, проработка интеграций. Наставничество, развитие и управление командой <highlighttext>Data</highlighttext> <highlighttext>Scientist</highlighttext> (уже есть небольшая команда из...'}",,,[],[],[],False,"[{'id': '10', 'name': 'Аналитик'}]",False
136,77982977,False,Senior Product Manager at US-based Company,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 5000, 'to': None, 'currency': 'USD', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2023-03-13T14:40:35+0300,2023-03-13T14:40:35+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=77982977,,https://api.hh.ru/vacancies/77982977?host=hh.ru,,https://hh.ru/vacancy/77982977,[],"{'id': '3716247', 'name': 'Pixellu', 'url': 'https://api.hh.ru/employers/3716247', 'alternate_url': 'https://hh.ru/employer/3716247', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/2823943.png', '240': 'https://hhcdn.ru/employer-logo/2823944.png', 'original': 'https://hhcdn.ru/employer-logo-original/595672.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3716247', 'trusted': True}","{'requirement': '5+ years working on technology-powered products as either a product manager, product designer, engineer, <highlighttext>data</highlighttext> <highlighttext>analyst</highlighttext>, <highlighttext>data</highlighttext> <highlighttext>scientist</highlighttext>...', 'responsibility': 'Passionate: Relentless in solving customer problems. Humble: A good human, who puts the team first, takes responsibility, shows empathy, admits...'}",,,[],[],[],False,"[{'id': '73', 'name': 'Менеджер продукта'}]",False
137,73740883,False,Инженер данных,,False,False,"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2023-03-13T06:59:43+0300,2023-03-13T06:59:43+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=73740883,,https://api.hh.ru/vacancies/73740883?host=hh.ru,,https://hh.ru/vacancy/73740883,[],"{'id': '8550', 'name': 'Центр финансовых технологий', 'url': 'https://api.hh.ru/employers/8550', 'alternate_url': 'https://hh.ru/employer/8550', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/690133.gif', '240': 'https://hhcdn.ru/employer-logo/3201665.png', '90': 'https://hhcdn.ru/employer-logo/3201664.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=8550', 'trusted': True}","{'requirement': 'Java 8+, Scala или Python на хорошем уровне. Знание алгоритмов и структур данных. Знание SQL и принципов работы классических...', 'responsibility': 'Проектирование и построение <highlighttext>Data</highlighttext> warehouse компании. Подготовка витрин данных для отчетности, бизнеса и дата <highlighttext>аналитики</highlighttext>. Организация пайплайнов сбора данных от...'}",,,[],[],[],False,"[{'id': '165', 'name': 'Дата-сайентист'}]",False
138,75640167,False,Инженер данных,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2023-03-11T18:15:16+0300,2023-03-11T18:15:16+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=75640167,,https://api.hh.ru/vacancies/75640167?host=hh.ru,,https://hh.ru/vacancy/75640167,[],"{'id': '2155808', 'name': 'ГПМ Партнер', 'url': 'https://api.hh.ru/employers/2155808', 'alternate_url': 'https://hh.ru/employer/2155808', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/1002079.jpg', '90': 'https://hhcdn.ru/employer-logo/5629096.jpeg', '240': 'https://hhcdn.ru/employer-logo/5629097.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2155808', 'trusted': True}","{'requirement': 'Работа с прочими СУБД в роли разработчика/<highlighttext>аналитика</highlighttext>. Написание пайплайнов в Airflow / NiFi / etc Redash / Grafana / Superset / etc. ', 'responsibility': 'Участие в аналитических исследованиях. Предоставлять экспертную поддержку внутренним потребителям (<highlighttext>data</highlighttext> <highlighttext>analysts</highlighttext>, <highlighttext>data</highlighttext> <highlighttext>scientists</highlighttext>). Поддержка и развитие базы знаний.'}",,,[],[],[],False,"[{'id': '40', 'name': 'Другое'}]",True
139,77865257,False,Machine Learning Engineer (Data Scientist),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2023-03-10T09:26:18+0300,2023-03-10T09:26:18+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=77865257,,https://api.hh.ru/vacancies/77865257?host=hh.ru,,https://hh.ru/vacancy/77865257,[],"{'id': '5705300', 'name': 'Brands Go Digital', 'url': 'https://api.hh.ru/employers/5705300', 'alternate_url': 'https://hh.ru/employer/5705300', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/969267.png', '240': 'https://hhcdn.ru/employer-logo/5497085.png', '90': 'https://hhcdn.ru/employer-logo/5497084.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5705300', 'trusted': True}","{'requirement': 'Имеешь опыт в должности DS/MLE от 2х лет. Имеешь опыт решения задач ценообразования и прогноза продаж/закупок в...', 'responsibility': 'Разработка и внедрение динамического ценообразования (dynamic pricing). Разработка roadmap <highlighttext>аналитики</highlighttext> и ML system design документа. Быть лидером <highlighttext>аналитики</highlighttext>, управлять бэклогом...'}",,,[],[],[],False,"[{'id': '165', 'name': 'Дата-сайентист'}]",False
140,77881406,False,Senior ML Engineer,"{'id': '3529-3529-prof', 'name': 'Сбер для экспертов'}",False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2023-03-10T12:10:24+0300,2023-03-10T12:10:24+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=77881406,,https://api.hh.ru/vacancies/77881406?host=hh.ru,,https://hh.ru/vacancy/77881406,[],"{'id': '3529', 'name': 'СБЕР', 'url': 'https://api.hh.ru/employers/3529', 'alternate_url': 'https://hh.ru/employer/3529', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/5756157.png', '90': 'https://hhcdn.ru/employer-logo/5756156.png', 'original': 'https://hhcdn.ru/employer-logo-original/1033849.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3529', 'trusted': True}","{'requirement': '...к <highlighttext>аналитике</highlighttext> данных и выводам из неё. Опыт работы в качестве Machine Learning Engineer / <highlighttext>Data</highlighttext> Engineer / <highlighttext>Data</highlighttext> <highlighttext>Analyst</highlighttext> / <highlighttext>Data</highlighttext> <highlighttext>Scientist</highlighttext>. ', 'responsibility': 'Расширение и адаптация кода разработанных со стороны <highlighttext>Data</highlighttext> <highlighttext>Scientist</highlighttext> математических моделей для регулярного исполнения в ПРОД; Развитие процессов MLOps. '}",,,[],[],[],False,"[{'id': '10', 'name': 'Аналитик'}]",False
141,76772401,False,Руководитель проектов (Data Office),"{'id': 'mailru-15478-other', 'name': 'VK'}",False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2023-03-10T19:58:45+0300,2023-03-10T19:58:45+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=76772401,,https://api.hh.ru/vacancies/76772401?host=hh.ru,,https://hh.ru/vacancy/76772401,[],"{'id': '15478', 'name': 'VK', 'url': 'https://api.hh.ru/employers/15478', 'alternate_url': 'https://hh.ru/employer/15478', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/909726.png', '240': 'https://hhcdn.ru/employer-logo/4079592.png', '90': 'https://hhcdn.ru/employer-logo/4079591.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=15478', 'trusted': True}","{'requirement': 'Управляли IT-проектами не менее 3 лет. Хорошо владеете методологиями и практиками управления проектами. Обладаете отличными аналитическими способностями и прекрасными...', 'responsibility': None}",,,[],[],[],False,"[{'id': '107', 'name': 'Руководитель проектов'}]",False
142,77838427,False,Data Scientist NLP,"{'id': '3529-3529-prof', 'name': 'Сбер для экспертов'}",False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2023-03-09T14:40:44+0300,2023-03-09T14:40:44+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=77838427,,https://api.hh.ru/vacancies/77838427?host=hh.ru,,https://hh.ru/vacancy/77838427,[],"{'id': '3529', 'name': 'СБЕР', 'url': 'https://api.hh.ru/employers/3529', 'alternate_url': 'https://hh.ru/employer/3529', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/5756157.png', '90': 'https://hhcdn.ru/employer-logo/5756156.png', 'original': 'https://hhcdn.ru/employer-logo-original/1033849.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3529', 'trusted': True}","{'requirement': 'Хорошо знаком с алгоритмами и готов рассказать, как лучше обойти дерево. Командный игрок: готов слушать, предлагать и брать ответственность.', 'responsibility': 'Исследовать вместе с <highlighttext>аналитиками</highlighttext> данных атрибутный состав исследуемых документов, ставить задачу на формирование и разметку обучающей выборки, контролировать качество данных...'}",,,[],[],[],False,"[{'id': '10', 'name': 'Аналитик'}]",False
143,77818891,False,Data Scientist middle+/senior (Транскодинг),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Рочдельская улица', 'building': '15с13', 'lat': 55.755991, 'lng': 37.56512, 'description': None, 'raw': 'Москва, Рочдельская улица, 15с13', 'metro': {'station_name': 'Баррикадная', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.16', 'line_id': '7', 'lat': 55.760793, 'lng': 37.581242}, 'metro_stations': [{'station_name': 'Баррикадная', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.16', 'line_id': '7', 'lat': 55.760793, 'lng': 37.581242}, {'station_name': 'Краснопресненская', 'line_name': 'Кольцевая', 'station_id': '5.58', 'line_id': '5', 'lat': 55.760378, 'lng': 37.577114}, {'station_name': 'Улица 1905 года', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.146', 'line_id': '7', 'lat': 55.763944, 'lng': 37.562271}], 'id': '4008828'}",,,2023-03-09T11:36:19+0300,2023-03-09T11:36:19+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=77818891,,https://api.hh.ru/vacancies/77818891?host=hh.ru,,https://hh.ru/vacancy/77818891,[],"{'id': '1375441', 'name': 'Okko', 'url': 'https://api.hh.ru/employers/1375441', 'alternate_url': 'https://hh.ru/employer/1375441', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/3778063.png', '240': 'https://hhcdn.ru/employer-logo/3778064.png', 'original': 'https://hhcdn.ru/employer-logo-original/834295.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1375441', 'trusted': True}","{'requirement': 'Высшее техническое/математическое образование; знание математической статистики и высшей математики критичны для решения наших задач. Умение инициализировать новое направление от...', 'responsibility': 'Исследование применимости различных алгоритмов в рекомендательной системе и в системах с применением компьютерного зрения. Моделирование входных данных. Интеграция исследованных моделей...'}",,,[],[],[],False,"[{'id': '10', 'name': 'Аналитик'}]",False
144,77723954,False,Data Scientist B2B (Эксперт по моделированию и анализу данных) Senior/Middle,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Шлюзовая набережная', 'building': '4', 'lat': 55.731551, 'lng': 37.644261, 'description': None, 'raw': 'Москва, Шлюзовая набережная, 4', 'metro': {'station_name': 'Павелецкая', 'line_name': 'Замоскворецкая', 'station_id': '2.101', 'line_id': '2', 'lat': 55.729741, 'lng': 37.638693}, 'metro_stations': [{'station_name': 'Павелецкая', 'line_name': 'Замоскворецкая', 'station_id': '2.101', 'line_id': '2', 'lat': 55.729741, 'lng': 37.638693}, {'station_name': 'Павелецкая', 'line_name': 'Кольцевая', 'station_id': '5.102', 'line_id': '5', 'lat': 55.731414, 'lng': 37.636294}, {'station_name': 'Таганская', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.77', 'line_id': '7', 'lat': 55.739502, 'lng': 37.653605}], 'id': '4011706'}",,,2023-03-06T14:36:58+0300,2023-03-06T14:36:58+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=77723954,,https://api.hh.ru/vacancies/77723954?host=hh.ru,,https://hh.ru/vacancy/77723954,[],"{'id': '2129243', 'name': 'ОКБ', 'url': 'https://api.hh.ru/employers/2129243', 'alternate_url': 'https://hh.ru/employer/2129243', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/5488229.jpeg', '90': 'https://hhcdn.ru/employer-logo/5488228.jpeg', 'original': 'https://hhcdn.ru/employer-logo-original/967278.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2129243', 'trusted': True}","{'requirement': 'Опыт работы не менее 3-х лет в области <highlighttext>аналитики</highlighttext> и моделирования. Отличное знание SQL и опыт работы с реляционными...', 'responsibility': 'Постоянное совершенствование аналитических механизмов, используемых в B2B продуктах ОКБ. Построение скоринговых (и не только) моделей, как общих, так...'}",,,[],[],[],False,"[{'id': '165', 'name': 'Дата-сайентист'}]",False
